Property,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
MeadowSecurity,"4,550.00","4,550.00","4,550.00","4,550.00","3,040.00","3,040.00","3,040.00","5,765.00","5,765.00","7,565.00","7,565.00","7,565.00","7,565.00","7,565.00","7,565.00","7,565.00","7,565.00","7,565.00","7,565.00","7,565.00","5,765.00","5,765.00","1,565.00","1,565.00",170,160,150,140,130,120,110,100,"1,590.00","1,580.00","1,580.00","1,580.00","23,580.00"
TrustAccount, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,300.00","6,200.00","7,250.00","7,250.00","7,250.00","7,250.00","7,250.00","6,350.00","6,350.00","6,350.00","6,350.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00","5,450.00"
1905Morning,"2,285.57","3,079.26","7,777.34","8,571.03","9,179.72","9,509.08","14,564.04","9,551.65","10,151.01","10,869.82","11,089.18","15,058.85","3,958.34","5,202.03","4,295.72","5,552.41","4,461.10","8,174.79","7,868.48","6,962.17","12,589.36","115,036.95","113,271.95","116,226.03","1,740.73","1,665.73","1,590.73","1,515.73","1,440.73","1,365.73","1,290.73","1,215.73","1,140.73","1,965.73","1,965.73","1,965.73","1,965.73"
2417Garden,"3,904.35","3,904.39","12,199.36","10,461.96","60,780.45","12,682.85","14,457.97","3,668.91","2,522.22",431.49,"6,830.54","2,332.84","2,932.00","5,504.30","6,632.56","7,907.39","3,734.73","9,668.90","6,553.39","5,605.71","10,980.31","9,987.79","7,753.55","8,195.98","2,882.17","2,320.69","2,535.33","1,063.13","2,683.49",756.75,"3,926.41","2,699.87","7,075.15","7,360.16","7,281.85","11,697.66","1,665.50"
108Pagoda,"6,220.31","4,343.37","8,285.36","3,413.73","9,767.51","9,984.67","11,353.57","11,122.60","11,137.13","11,933.78","11,142.81","12,140.84","3,892.21","4,617.24","5,565.27","6,508.30","5,031.16","7,553.25","8,255.25","6,362.30","8,911.27","7,958.59","6,896.88","10,851.82","1,490.60",470.63,"2,946.91","3,994.94","5,042.97","6,091.00","7,083.47","6,281.50","9,046.80","9,969.83","11,092.86","10,290.89","1,680.83"
2208Chase,"4,148.35","4,298.39","10,843.10","12,184.28","5,856.23","6,981.29","8,618.74","8,677.38","8,677.45","8,650.76","8,570.84","8,570.91","8,570.98","8,571.05","8,571.12","8,571.19","8,571.19","8,571.33","8,571.41","8,571.48","8,571.55","8,571.62","8,571.69","8,572.16","6,573.09","6,573.92","6,574.68","6,575.52","6,576.33","6,577.17","6,577.98","6,678.03","6,720.02","6,720.85","6,721.70","6,722.53","1,723.34"
104Meadow,"1,809.00","2,598.80","3,388.60","4,178.40","4,968.20","5,763.00","6,552.80","7,342.60","8,232.40","9,122.20","10,012.00","10,901.80","3,049.49","3,668.29","3,993.09","4,907.89","4,102.69","5,633.49","4,326.29","3,521.09","10,045.92","9,211.26","8,406.06","10,318.35",721.3,881.1,75.9,"1,320.90","2,290.70","3,260.50","4,230.30","5,200.10","6,312.58","7,282.38","8,427.18","7,621.98","1,130.59"
108Meadow,"5,254.81","5,350.25","7,472.58","4,075.20","9,073.46","5,909.83","10,371.86","9,423.64","10,044.71","10,915.78","11,128.07","11,145.85","3,553.71","4,424.78","5,295.85","6,166.92","5,342.99","3,535.94","2,946.20","1,373.34","5,462.28","3,378.82","2,547.86","7,950.74","1,683.71",795.14,"3,090.68","3,997.27","4,968.34","6,044.41","3,668.55",229.62,"1,779.03","2,805.10","3,831.17","4,857.24","1,210.81"
116Meadow,"5,640.03","6,865.03","8,190.03","9,515.03","9,927.99","10,796.97","11,665.95","11,236.93","12,105.91","13,074.89","12,393.87","13,362.85","3,171.72","4,140.70","5,109.68","6,078.66","5,197.64","7,716.62","8,362.60","7,681.58","10,400.56","9,690.08","9,009.06","9,494.04","1,217.67",536.65,"3,016.84","3,791.45","4,190.43","5,259.41","6,328.39","5,647.37","5,553.35","6,722.33","6,191.31","7,360.29","2,143.08"
116MeadowSavings,"3,654.01","3,804.04","3,954.07","4,104.11","4,254.14","4,404.18","4,554.22","4,704.26","4,854.30","5,004.34","5,154.38","5,304.42","1,454.47","1,604.48","1,754.49","1,904.51","2,054.53","2,204.55","2,354.56","2,504.59","2,654.61","2,804.63","2,954.66","3,104.82","3,255.23","3,405.66","3,406.05","3,556.50","3,706.95","3,857.44","4,007.93","4,158.45","4,309.00","4,459.54","4,610.12","4,760.70","1,911.29"
1342Newton,"6,914.21","7,820.83","10,271.45","9,633.07","10,644.69","11,701.31","12,757.93","13,814.55","14,871.17","16,027.79","15,389.41","18,341.03","3,539.75","2,901.37","4,057.99","5,211.28","8,159.57","7,518.41","8,672.25","9,826.09","9,184.93","8,170.33","6,374.17","5,733.01","2,015.56","1,374.40",733.24,"1,604.41",963.27,324.89,686.51,48.13,"3,046.77","2,408.39","1,770.01","1,131.63","2,270.31"
1316Rosemon,"14,087.79","17,282.92","18,983.05","20,683.18","20,639.60","22,288.73","25,438.86","27,117.44","27,321.84","30,090.25","27,896.66","29,790.07","10,145.72","12,039.13","13,355.04","15,248.45","13,951.86","18,835.27","16,143.68","10,232.35","17,333.74","15,822.47","14,424.78","19,601.09","2,267.34",869.65,"6,627.42","10,734.73","10,986.24","15,023.55","15,420.86","13,934.09","16,992.28","19,199.36","21,420.69","22,430.04","2,284.99"
