bank_account_key,tdate,description,amount,classification,period_status,transaction_group,transaction_type,vendor,customer,comments,vendor_no_w9,customer_no_w9
104Meadow,2013-10-17,Notarized Pagoda Homes closing documents and shipped overnite,-108,clean,closed,C01-Capex,Capex-Acquisition,GeneralVendor,104Meadow,104Meadow Purchase,104MeadowPurchase,104Meadow
104Meadow,2013-10-19,"Earnest Money Meadow View, completed 01/27/14",-1200,clean,closed,C01-Capex,Capex-Acquisition,GeneralVendor,104Meadow,104Meadow Purchase,104MeadowPurchase,104Meadow
104Meadow,2013-10-28,Funding Meadow View Homes,13000,clean,closed,C01-Capex,Capex-Acquisition,104Meadow,Partnership,,104MeadowPurchase,10282013Key
104Meadow,2013-10-28,Funding Meadow View Homes,10000,clean,closed,D01-Owner,Owner-Funding,104Meadow,Partnership,,104Meadow,Partnership
104Meadow,2013-10-29,Funding Meadow View Homes,3000,clean,closed,D01-Owner,Owner-Funding,104Meadow,Partnership,,104Meadow,Partnership
104Meadow,2013-10-30,Closing 104 Meadow View,-23695.28,clean,closed,C01-Capex,Capex-Acquisition,GeneralVendor,104Meadow,104Meadow Purchase,104MeadowPurchase,104Meadow
104Meadow,2013-11-14,Meadow View LLC registration,-308.1,clean,closed,A01-Income,Exp-ProfessionalServices,GeneralVendor,104Meadow,,CityServices,104Meadow
104Meadow,2013-11-14,Appraisal for Meadow View,-585,clean,closed,C01-Capex,Capex-Acquisition,GeneralVendor,104Meadow,104Meadow Purchase,104MeadowPurchase,Lender
104Meadow,2013-11-17,Funding Meadow View Homes,2000,clean,closed,D01-Owner,Owner-Funding,104Meadow,Partnership,,104MeadowPurchase,Partnership
104Meadow,2013-11-17,Mowing Meadow View,-30,clean,closed,A01-Income,Exp-Repair,GeneralVendor,104Meadow,,GabeGonzales,104Meadow
104Meadow,2013-11-18,Funding Meadow View Homes,2000,clean,closed,D01-Owner,Owner-Funding,104Meadow,Partnership,,104MeadowPurchase,Partnership
104Meadow,2013-11-18,Garage door opener Installation Meadow,-65,clean,closed,A01-Income,Exp-Repair,GeneralVendor,104Meadow,,SteveSearle,104Meadow
